cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
18	rest	86	ENSG00000198959	1.6877905	2.2336278	0.0914514379955643	0.225290169499732
18	rest	87	ENSG00000148677	1.6410677	3.1281836	0.100783356484627	0.24246161698174
18	rest	89	ENSG00000244716	1.5956908	1.0077723	0.110557840702396	0.260632926920531
18	rest	94	ENSG00000219200	1.3939942	1.0417693	0.163319336802918	0.352061870698919
18	rest	95	ENSG00000282238	1.3382345	3.3215835	0.180820008178477	0.381930371915194
18	rest	96	ENSG00000178458	1.3341967	3.5664346	0.182139395232317	0.384551389890879
18	rest	97	ENSG00000183298	1.319007	2.0083187	0.187166776858631	0.393048225543337
18	rest	99	ENSG00000239797	1.2897812	5.6573977	0.197126645668234	0.409140623013351
19	rest	0	ENSG00000197061	6.235504	3.46878	4.50324935449787e-10	8.82411711013858e-06
19	rest	1	ENSG00000149554	6.064115	4.224719	1.32682317165171e-09	1.29995500242576e-05
19	rest	2	ENSG00000132646	5.501642	3.799323	3.76270107112778e-08	0.000245767091629163
19	rest	3	ENSG00000113810	5.3264127	3.940694	1.00171460056257e-07	0.000490714939950588
19	rest	4	ENSG00000189056	5.189382	3.0985892	2.10993328775488e-07	0.000826882855471137
19	rest	5	ENSG00000139117	5.1004534	3.589144	3.38840880887796e-07	0.00110659784349939
19	rest	6	ENSG00000243716	5.0475006	2.7045414	4.47627648555244e-07	0.00125303768192
19	rest	7	ENSG00000166803	5.0139503	3.44525	5.33237977992584e-07	0.00130609977234559
19	rest	8	ENSG00000012048	4.955338	3.5598543	7.22045781895991e-07	0.00144468392108553
19	rest	9	ENSG00000125848	4.942807	3.4392574	7.70055543543902e-07	0.00144468392108553
19	rest	10	ENSG00000164109	4.932702	3.558809	8.10998883998e-07	0.00144468392108553
19	rest	11	ENSG00000144554	4.8971305	3.4889634	9.7246269392775e-07	0.00158795054062619
19	rest	12	ENSG00000198901	4.776673	3.2748728	1.78219415454074e-06	0.00264392690944242
19	rest	13	ENSG00000126653	4.7649503	3.3608077	1.88900110906833e-06	0.00264392690944242
19	rest	14	ENSG00000156802	4.720284	3.3474808	2.35515533890676e-06	0.00307661792439187
19	rest	15	ENSG00000274320	4.7047215	2.8206496	2.54212665042969e-06	0.00311331073219811
19	rest	16	ENSG00000117748	4.686936	3.2004514	2.7732583595395e-06	0.00314049445295382
19	rest	17	ENSG00000167900	4.6788516	3.4685714	2.88486349339978e-06	0.00314049445295382
19	rest	18	ENSG00000228716	4.6640973	3.2014928	3.09974542540442e-06	0.0031968164005684
19	rest	19	ENSG00000119969	4.6497474	3.3939178	3.3234152358433e-06	0.00325611607731747
19	rest	20	ENSG00000151725	4.6315575	3.3033457	3.62924893415432e-06	0.00338643489832162
19	rest	21	ENSG00000091651	4.6036663	2.9884934	4.15117128880699e-06	0.00369737279109877
19	rest	22	ENSG00000180730	4.558394	3.2697573	5.1546327535495e-06	0.00439152299155663
19	rest	23	ENSG00000185344	4.5381827	3.3011947	5.67410807856071e-06	0.00441782607110192
19	rest	24	ENSG00000105486	4.533332	3.3226006	5.80604216190174e-06	0.00441782607110192
19	rest	25	ENSG00000145604	4.531311	3.2260695	5.86187689965042e-06	0.00441782607110192
19	rest	26	ENSG00000196584	4.5054407	3.2368264	6.62352766246538e-06	0.00441794189117915
19	rest	27	ENSG00000077514	4.504228	3.246194	6.66145873203472e-06	0.00441794189117915
19	rest	28	ENSG00000077152	4.4967504	3.2486086	6.89999906538346e-06	0.00441794189117915
19	rest	29	ENSG00000117724	4.4933143	3.5102136	7.012318015659e-06	0.00441794189117915
19	rest	30	ENSG00000159055	4.487251	3.2035177	7.21480686490087e-06	0.00441794189117915
19	rest	31	ENSG00000213551	4.4773474	3.0693014	7.55761538595457e-06	0.0044876204087206
19	rest	32	ENSG00000138376	4.4623914	3.3129041	8.10500041536565e-06	0.00467110244526735
19	rest	33	ENSG00000159445	4.456126	3.1276393	8.34539966828271e-06	0.0046722316142857
19	rest	34	ENSG00000217555	4.4423823	2.966884	8.89682202236721e-06	0.00482521876491838
19	rest	35	ENSG00000149474	4.4365215	3.395337	9.14242912269043e-06	0.00482521876491838
19	rest	36	ENSG00000073111	4.424597	3.311806	9.66225720709491e-06	0.00482521876491838
19	rest	37	ENSG00000124575	4.4205546	3.3316934	9.84479077557081e-06	0.00482521876491838
19	rest	38	ENSG00000171792	4.4185333	3.237823	9.9372881770288e-06	0.00482521876491838
19	rest	39	ENSG00000197614	4.412268	3.1142306	1.02293345190675e-05	0.00482521876491838
19	rest	40	ENSG00000108106	4.408832	3.2567089	1.03929506856894e-05	0.00482521876491838
19	rest	41	ENSG00000119596	4.40479	3.123739	1.05886403108696e-05	0.00482521876491838
19	rest	42	ENSG00000160298	4.3981204	3.1619828	1.09192421829358e-05	0.00486278524033242
19	rest	43	ENSG00000121310	4.3785157	3.0632222	1.19490350004744e-05	0.00520314090742881
19	rest	44	ENSG00000162344	4.357092	3.2667863	1.318018838053e-05	0.00559411618007427
19	rest	45	ENSG00000181544	4.3473907	3.1640286	1.37766686110055e-05	0.00559411618007427
19	rest	46	ENSG00000129682	4.3465824	3.130519	1.38275209548551e-05	0.00559411618007427
19	rest	47	ENSG00000099260	4.3411255	3.2319283	1.41754864550399e-05	0.00559411618007427
19	rest	48	ENSG00000121068	4.3393064	3.1639442	1.42933193632677e-05	0.00559411618007427
19	rest	49	ENSG00000122674	4.3292007	3.1578133	1.49651450544735e-05	0.00559411618007427
19	rest	50	ENSG00000225989	4.3285947	2.411712	1.5006397581455e-05	0.00559411618007427
19	rest	51	ENSG00000140525	4.3267756	3.0450485	1.51308067131379e-05	0.00559411618007427
19	rest	52	ENSG00000176619	4.319904	3.1052742	1.56097297184157e-05	0.0056643084043029
19	rest	53	ENSG00000145936	4.311415	3.1658769	1.62213071752845e-05	0.00575435565477834
19	rest	54	ENSG00000171960	4.3083835	3.054711	1.644521136349e-05	0.00575435565477834
19	rest	55	ENSG00000112200	4.281907	3.0681708	1.85298437304345e-05	0.00637004013855903
19	rest	56	ENSG00000137563	4.273014	3.22105	1.92848222316774e-05	0.00651527744189171
19	rest	57	ENSG00000160111	4.268972	3.0220537	1.96375971873462e-05	0.006522012150611
19	rest	58	ENSG00000112576	4.258664	2.9970987	2.05652024434215e-05	0.0067162523646474
19	rest	59	ENSG00000100335	4.2487607	3.0539534	2.14956183860881e-05	0.00690502692254749
19	rest	60	ENSG00000288210	4.239868	3.2194731	2.23651198702926e-05	0.00704447372006262
19	rest	61	ENSG00000112851	4.2370386	3.2100751	2.26487289800431e-05	0.00704447372006262
19	rest	62	ENSG00000163257	4.2319856	3.0067317	2.31637070787038e-05	0.00709207562823753
19	rest	63	ENSG00000204574	4.2281456	2.3610342	2.35625223978539e-05	0.0071031942520915
19	rest	64	ENSG00000141646	4.2154126	2.984765	2.49321794325041e-05	0.00722967767359673
19	rest	65	ENSG00000166451	4.2150087	3.0779269	2.49768772243724e-05	0.00722967767359673
19	rest	66	ENSG00000138193	4.213998	3.1277623	2.50889554378453e-05	0.00722967767359673
19	rest	67	ENSG00000143995	4.208541	3.0686042	2.57024917459096e-05	0.00726029861243719
19	rest	68	ENSG00000094916	4.2034883	1.9788272	2.62832829052947e-05	0.00726029861243719
19	rest	69	ENSG00000170088	4.203286	2.9536111	2.63067722114336e-05	0.00726029861243719
19	rest	70	ENSG00000008394	4.194393	3.0794864	2.73602942385193e-05	0.00744618007783035
19	rest	71	ENSG00000131153	4.180043	3.0323918	2.91453412584098e-05	0.00778649107329971
19	rest	72	ENSG00000173402	4.1780224	2.9534369	2.94054778986567e-05	0.00778649107329971
19	rest	73	ENSG00000109586	4.160843	3.0340052	3.17075052634406e-05	0.00826969122810798
19	rest	74	ENSG00000168268	4.1582155	3.006595	3.20743318875328e-05	0.00826969122810798
19	rest	75	ENSG00000198888	4.1505356	1.3435656	3.31698531189702e-05	0.00834759202898411
19	rest	76	ENSG00000184992	4.150131	3.091709	3.32284857494647e-05	0.00834759202898411
19	rest	77	ENSG00000162062	4.1266866	3.0431967	3.68027804000334e-05	0.00893442923070475
19	rest	78	ENSG00000062822	4.125878	3.1736548	3.69323178202136e-05	0.00893442923070475
19	rest	79	ENSG00000166896	4.1183996	2.8565927	3.81512345896166e-05	0.00911674929004313
